"age","gender","height_cm","weight_kg","body.fat_.","diastolic","systolic","gripForce","sit.and.bend.forward_cm","sit.ups.counts","broad.jump_cm"
54,"0",156.5,52.2,2,1,0,20.5,13.5,16,110
48,"1",167.2,68.5,1,1,0,39.2,7,31,195
61,"0",160.9,63.1,2,1,1,27.5,21.1,27,140
60,"1",172.5,76,1,1,2,47.3,16,41,206
27,"1",168.6,67.2,1,1,1,45,11.6,41,223
40,"0",162.5,51.4,1,1,2,26.9,26.3,36,174
36,"1",172.1,65.64,1,1,2,47.3,15.4,39,215
58,"1",168.5,74.9,2,1,1,40.6,15.8,29,188
55,"0",152.8,55.6,2,1,1,23.9,15.7,23,130
25,"0",158.1,57.9,2,0,0,24.5,13.7,59,157
21,"1",169.6,64.5,0,1,1,46.2,21.5,65,248
23,"0",163.8,57.5,2,1,1,32.9,28.8,43,164
64,"1",165.8,61.3,0,0,0,34.9,7.6,33,166
21,"1",187.4,84.4,1,1,2,50.8,16.8,49,257
56,"0",149.4,51.6,2,1,1,25.5,18.8,11,117
22,"1",167.3,61.4,1,0,0,38.8,19.9,67,240
28,"0",165.4,62,2,0,0,25,21.7,31,170
53,"0",152.7,46.9,1,0,1,23.5,18.5,20,152
23,"1",165.7,62.7,1,0,1,37.7,25.5,35,237
46,"1",176.8,80.9,1,1,2,50.1,22.1,45,206
56,"0",148.2,54.7,2,1,1,22.7,10.7,0,134
44,"1",172,71,1,0,0,48.3,28.7,52,203
27,"1",173.8,68.4,0,0,0,47.8,14.1,49,244
45,"1",166.5,71.5,1,1,2,47.8,24.2,47,201
63,"1",164.7,73.8,2,1,2,35.6,9,22,135
26,"1",183.4,83.6,0,1,2,50.6,16,51,231
32,"1",170.8,72.2,1,1,1,47.4,16.6,60,205
22,"0",167,50.3,1,1,0,27.9,23.3,39,168
21,"1",175,84.7,1,0,1,50.9,11.6,42,156
21,"1",178.9,75.5,1,1,1,40.8,15.4,55,213
54,"0",148,53.4,1,1,2,27.9,23,35,145
21,"1",179,82.8,1,0,1,58.9,19.9,56,278
24,"1",163.9,64.8,1,1,2,39.7,13.2,47,224
31,"1",178,84.66,1,1,1,59.2,15.1,47,196
27,"1",180.9,77.1,1,1,2,40.9,22,52,209
22,"0",163.8,54.2,1,1,2,23.6,19.4,41,155
61,"0",152.6,56.4,2,1,1,28.9,20.2,4,125
60,"1",171.9,60.9,1,1,1,33.6,10.9,28,190
41,"0",160,50,1,0,0,27.4,22.6,38,178
59,"1",166.1,67.8,1,1,2,40.6,22.4,34,188
51,"1",174.5,71.2,1,1,1,40.7,13,41,203
34,"1",181.1,70.5,1,0,1,34.1,12.7,40,217
22,"0",169.2,53.2,1,0,0,30,27.1,54,202
22,"0",162.1,55.1,1,0,0,28.5,23.1,43,198
23,"0",161.8,47.8,1,0,0,25.2,21.5,47,178
27,"0",152.3,55.5,2,1,1,16.6,16.1,37,113
25,"0",160.9,63.7,2,1,2,26.4,23.6,37,179
37,"0",149.5,38.1,1,0,0,16.2,23,35,167
21,"1",170,50.1,1,0,1,28.5,6.4,44,210
31,"1",174,67.6,1,1,2,39.3,5.1,38,225
49,"1",176.2,73.3,1,1,2,45,9.9,33,223
27,"1",182.5,81,1,0,0,42,9.1,44,233
49,"0",155.9,57,1,0,0,25.1,17.5,25,110
36,"0",156.6,55,1,1,1,30.1,12.5,24,149
33,"1",179.2,76.3,1,1,1,32,8.7,36,188
61,"0",146.5,56.16,2,1,2,26.9,23.5,12,118
24,"0",166.9,70,1,0,0,39.1,23.8,47,186
25,"1",168.8,63.9,1,1,1,38.2,20.1,49,215
28,"0",161.4,55.9,2,1,1,22.4,18.1,30,152
26,"0",162.6,57.2,2,0,0,26.9,20.6,43,128
62,"1",175,68,1,1,1,46,2.8,33,194
51,"1",172.4,75.6,1,1,0,47.4,22.4,55,211
26,"1",180.2,103.4,1,0,1,67.6,16.2,46,219
21,"0",160.7,56.6,1,1,0,25.6,30.1,32,157
56,"0",149,46.7,1,1,2,25,28,41,186
52,"1",165.4,74.8,1,1,2,38.9,18.2,56,217
21,"0",169.2,64.9,2,0,1,29.9,22.3,39,174
56,"0",157.2,60.4,2,0,0,24.2,14.3,16,132
36,"1",169.9,67.1,1,1,2,48.8,16.3,59,228
32,"0",163.5,55.6,1,0,0,28.2,24.5,36,183
21,"0",159.9,49.7,1,1,0,23.4,24.3,11,145
63,"1",165.8,63.9,1,1,1,26.9,14.2,28,160
32,"1",168,69.8,1,1,1,50.9,26.3,68,248
28,"1",175.1,75.5,0,1,1,44.5,11.4,66,247
40,"1",169.8,84.1,1,1,1,57.9,19.8,40,220
26,"0",158.8,56.9,1,0,0,21.8,20.8,37,172
56,"0",156.9,49.9,2,0,1,12.1,1.2,20,118
22,"1",168.4,69.9,0,0,0,44,16.3,61,234
29,"1",172.7,72.6,1,1,1,35,3.3,40,213
61,"1",171.6,86.4,1,0,2,35.1,-2.4,12,162
54,"0",162.9,51.4,1,1,1,19.5,20.5,24,134
56,"1",168.8,66.4,1,1,2,34.3,20.2,35,186
36,"1",173,72.7,1,1,2,45.9,7.8,46,204
24,"1",167.5,65.66,1,1,2,45.3,18.3,44,241
59,"0",145.7,51.6,2,1,2,24.8,20.1,12,122
23,"0",158.2,47.9,2,1,0,21.6,10.9,26,131
41,"1",179.3,73.4,1,1,2,43.3,17.3,47,246
35,"1",169.9,61.7,1,1,1,38.1,14.3,37,216
30,"1",163.7,65.5,1,1,0,43.5,14.5,42,230
44,"0",167.8,63.8,1,0,0,29.1,14.8,43,170
28,"1",170,74,1,1,1,37.7,6,50,193
22,"1",169.5,65,1,0,0,38.1,16.2,40,151
21,"1",187.9,74.7,1,1,1,44.7,7.7,45,221
53,"1",170,75.1,1,1,2,42.8,7.4,29,181
21,"0",158.4,48.9,1,1,1,25,21.4,41,163
63,"0",157.6,58.2,1,1,1,22.9,17.9,27,126
23,"0",161.1,53,1,1,0,28.9,-4.4,22,143
62,"1",174.7,71.9,1,1,1,41.2,16.6,40,205
32,"1",179.7,90,1,1,2,49.7,1.5,50,216
38,"1",172.3,71.6,1,0,0,47.4,6.2,47,230
24,"1",180.3,80.2,1,1,1,64.3,19,57,235
23,"1",183.3,79.4,1,1,1,48.9,23,48,199
63,"1",172.4,71.66,1,1,2,43.1,15.8,38,173
27,"1",178.8,73.38,0,1,1,49.6,21.5,54,223
59,"0",158.2,54.34,1,1,1,25.1,28.6,42,148
36,"0",166.5,53.7,1,1,1,27.4,18.9,40,186
34,"0",167.5,65.8,1,0,0,31,20.5,50,174
23,"1",180.4,90.5,1,0,0,46.1,4.5,42,185
21,"0",158.8,49.7,1,1,1,15.2,24.2,28,174
24,"1",177,89.9,1,1,0,56.8,12.7,54,232
55,"1",170,75.5,1,0,0,45.4,12.5,40,216
43,"1",169,68.6,0,1,0,45.7,20.2,55,239
22,"0",159.3,54,1,0,0,23,27.2,33,189
46,"1",173.9,69.4,1,1,1,43.9,14.5,46,237
24,"1",176,77.5,1,1,0,35.6,9.3,38,200
56,"0",164,57.6,1,1,1,24.4,23.6,27,149
28,"1",171.4,76.8,1,1,1,47.8,23,41,217
53,"0",160.4,59.3,1,0,0,22.5,-5,13,150
30,"1",179.2,76.5,0,0,1,55.4,16.7,50,215
21,"0",153,56.9,2,0,0,18.6,19.4,22,160
59,"0",162,65.3,2,1,1,24.7,16.5,11,125
27,"0",164.6,56.9,1,0,2,26.8,19.9,51,183
38,"1",179.9,82.2,1,1,2,54.3,20,61,241
41,"1",167.9,72.4,1,1,1,44.6,23.3,60,212
21,"0",168.4,60.2,2,1,1,25.8,16.8,32,162
23,"0",163.7,53.4,1,1,0,26.6,28,43,204
21,"0",166.3,47.6,1,1,0,23.8,10.1,42,172
63,"1",160.5,68.2,1,1,2,37.1,14.3,31,174
22,"1",182.9,72.4,0,1,1,52.6,11.2,45,225
28,"1",170.3,52.5,1,1,1,30.1,16.5,25,185
25,"0",154,57.9,2,0,0,30.2,18.7,36,158
39,"1",176.9,90.1,1,1,1,46.4,9.3,45,225
22,"1",180.6,80,1,0,2,35.6,20.4,49,221
30,"1",170.2,62.9,0,1,1,42.8,27.8,65,240
30,"1",185.2,108.9,1,1,2,54,27.7,52,231
24,"0",162.8,59.7,2,1,1,27.7,21.1,47,158
64,"1",163.8,68.5,2,1,2,35.5,18.8,26,182
22,"0",166,68.8,2,1,2,33.5,27.8,38,181
64,"0",155.5,60,2,1,1,17,12.8,20,100
26,"1",170.1,67.1,1,0,0,35.2,15.4,51,225
39,"0",159.3,50.6,2,1,1,25.2,19.6,32,167
50,"1",165.2,67,1,1,2,39,13.3,38,205
45,"0",159.2,59.1,2,1,0,25,21.7,35,137
52,"0",150.3,49.1,2,0,0,20.8,19.5,16,130
25,"1",184,75.7,0,1,1,51.5,21.8,58,230
25,"1",175.3,63.7,0,1,0,44.6,11.5,55,221
35,"1",177.3,82.7,1,1,1,49,12.1,51,197
63,"1",169.4,76.1,1,1,1,40.4,17.3,28,168
31,"1",167,71.1,1,1,2,46.9,14.6,53,228
42,"0",158.1,51,0,0,0,23.9,20.3,30,121
25,"0",158.6,46.2,1,0,0,22.1,19.6,21,135
24,"0",156.1,49.4,1,0,0,21.7,23.8,38,137
22,"1",175.1,67.5,1,1,0,39.4,24.9,60,163
26,"1",172.9,83.3,2,0,1,45.2,9.2,44,174
22,"0",166,54.9,1,1,2,28.1,21.5,46,167
46,"1",168,58.7,1,1,2,32.9,17.4,38,182
37,"1",181.2,86,1,1,1,52.8,21.3,44,222
28,"1",170,84.2,0,1,1,42.6,23.5,51,241
24,"1",176.1,74.8,1,1,1,35.7,-12,1,200
27,"1",170,75.9,2,1,1,35.2,-6.6,49,202
28,"1",171,74.6,1,1,2,42.4,8,52,213
23,"0",163.5,58.5,1,1,1,35.7,26.8,39,168
39,"1",170.8,68.9,1,1,0,43.3,7.4,52,215
55,"0",154.6,58.9,2,1,1,23.1,18.5,27,115
41,"1",176.2,93.1,2,1,1,36.3,7.1,1,182
36,"0",165.8,55.78,1,1,1,25.4,23.9,30,152
29,"1",172.7,71.8,1,1,2,52.2,19.7,57,254
35,"1",173.1,77.6,1,0,1,46.4,16.7,47,216
41,"1",177,81.7,1,1,1,46.3,7.8,39,213
23,"0",161.8,58.7,1,1,1,29,10.3,44,126
22,"1",175.8,73.3,1,1,0,50.5,7.2,43,232
52,"0",159.5,55.2,2,0,0,24.4,15,16,119
63,"0",175.1,81.2,1,1,2,40.2,24.4,36,167
64,"1",159.3,56.5,1,1,2,34.2,-1.4,16,144
41,"1",175.7,81.2,1,1,0,43.7,14.3,42,199
22,"0",158.5,49.3,1,0,0,27.1,21,59,178
21,"0",170.5,67.8,2,0,0,29.7,9.8,39,166
44,"1",177.4,87.9,1,1,2,48.7,5.2,28,214
50,"0",157.3,51.1,1,0,0,21.6,20.5,33,164
26,"1",180.8,69.26,0,1,0,44,1.5,53,249
53,"1",167,65.7,1,1,2,33.7,14.2,32,185
29,"1",185,85.8,1,1,1,51,17.2,55,231
47,"1",177.7,87.7,1,1,1,40.4,12.2,44,204
25,"1",179.4,74.3,0,1,1,49.1,20.9,58,270
40,"0",159.1,50.4,1,0,0,28.7,25.7,32,162
51,"0",161.2,47.8,1,1,1,23.9,14.1,29,154
40,"0",163.3,47.7,1,0,1,27.9,27.6,32,185
27,"0",169.8,64.9,1,1,1,31.3,12.3,49,159
24,"1",179.4,78.1,1,1,1,37.9,-13.1,37,217
28,"1",171.4,68.3,0,0,1,35.9,12.3,52,228
43,"1",174.6,104.9,2,1,2,32.7,-1.3,22,173
54,"1",176,68.9,1,1,2,40.2,10.5,44,182
23,"0",167.2,54.8,1,1,0,29,19.5,39,175
28,"1",175.4,69.9,0,1,2,45.9,23.8,58,230
29,"1",170,66,1,1,2,39.6,6,38,185
54,"1",163,75.5,1,1,1,46.7,3.3,42,207
23,"1",178.6,83.9,1,1,1,48.5,16.6,43,243
35,"0",158.3,70.1,2,1,1,29.1,21.4,41,149
29,"0",161.4,61.8,1,0,0,24.6,18.7,41,168
37,"1",174.1,80.2,1,0,1,35.6,-7.7,40,193
29,"1",178.8,72.9,0,0,1,51.1,8.1,51,243
45,"1",160,59.3,1,1,0,31,11.5,40,220
22,"0",159.1,51.3,1,1,0,21.3,7.9,24,154
47,"1",174.3,78.1,1,1,2,46.7,16.8,52,231
44,"1",176.9,85.2,1,1,2,50.4,2.9,44,192
26,"0",161.9,53.9,1,0,0,30.3,26,40,173
32,"1",165.9,74.8,1,1,2,42.2,17.1,54,229
48,"0",161.5,49.4,1,0,0,19.9,11,37,157
56,"1",162.3,56.68,1,1,2,34.5,9,23,138
26,"1",180.6,73.4,1,1,2,41,11.2,44,236
22,"1",177.1,71.4,1,1,1,51,11.6,57,158
43,"0",166.2,51.8,1,1,2,35.9,15.8,40,165
37,"0",170,63,1,0,0,33.4,20.4,35,190
33,"0",162.7,53.9,2,1,1,27.6,30.4,42,175
48,"1",168.6,71,1,1,2,49.7,7,39,225
22,"1",175.8,66.6,0,1,1,34.2,2.9,52,240
27,"1",173.9,79,1,1,1,31.6,0.2,39,206
38,"1",171.4,71.7,1,1,2,42.5,21.3,54,216
62,"1",164.5,64.02,1,0,2,41,13,26,205
31,"1",176.5,69.3,0,0,0,46.6,10.6,58,253
22,"1",175,69.8,0,0,1,50.3,26.8,60,276
29,"1",179,79.1,0,0,0,53.9,10.3,46,209
22,"1",170,73.6,1,0,0,36.5,7,57,217
50,"0",153.9,43.8,1,0,1,22,18.5,19,138
32,"1",176.3,71.8,1,1,1,45.3,15.4,45,209
46,"1",163.5,71.1,1,1,2,37.9,14.9,35,204
31,"1",178,78.2,1,1,1,45.7,11.9,48,218
22,"1",179.6,70,0,1,1,49.7,16.7,51,248
28,"1",176.2,83.7,1,1,0,46.2,7.8,46,211
31,"1",173.7,83.8,1,1,1,39.3,27.5,60,204
59,"1",165.7,57.6,0,0,1,33,13.5,41,186
34,"0",162.1,79.3,2,1,2,24.6,20.1,13,135
37,"1",170.8,60.5,0,1,0,42.8,14.1,35,233
64,"0",153.2,50.1,1,1,2,23.3,26,21,115
63,"0",147.4,52.1,2,1,2,20,20.2,23,87
25,"0",160,53.1,1,1,0,18.1,34.8,33,108
57,"0",159.2,68.6,2,1,2,30.2,20.6,0,133
41,"1",177.1,74.9,1,1,0,47.8,17.8,50,240
27,"1",179.5,87,1,1,1,46.3,7.1,57,212
48,"1",166.9,69.5,1,1,2,40,11.9,43,189
26,"0",157.6,50.1,1,0,0,24.2,22,52,160
30,"1",179.5,90.8,1,1,1,56.9,21.3,51,230
34,"1",175,71,1,1,2,45.9,20.5,57,233
23,"1",182.7,67.6,0,1,2,45.4,-11,39,234
30,"1",185,77.9,1,1,2,42.8,15.6,44,195
25,"1",175,72.6,1,1,0,49.8,21.2,58,226
25,"1",174.3,79.68,1,1,2,54.7,28.5,38,217
35,"1",184.6,79,1,1,1,45.5,6.7,45,194
54,"0",162.4,56.2,1,1,2,28,16.6,19,143
50,"0",154.6,53.2,1,0,0,27.9,20.2,23,158
21,"1",175.1,103.6,2,1,2,28.8,-14.3,20,119
64,"0",163.6,55.2,1,0,0,22.7,20.9,29,126
24,"1",173.6,71.2,1,1,2,53.4,9.4,53,209
39,"0",167.8,65.7,2,1,1,35.9,23.8,43,174
21,"1",183,80.1,1,1,1,44.7,21,52,238
27,"1",165.8,73.8,1,1,2,35.3,6,39,197
36,"1",166.7,74.1,1,1,2,46.3,22.9,59,243
23,"0",162.7,63.9,2,1,1,30.5,27.3,30,169
24,"0",164.8,52,1,0,0,26.2,24.7,42,153
62,"0",162.4,68.1,1,1,0,29.4,12.5,18,140
39,"0",161.5,52,1,0,0,23.6,22.5,20,188
62,"0",155,50.7,2,1,2,23,28.3,11,150
22,"0",154.8,59.3,2,1,0,30.6,10.1,48,167
64,"0",158,62.3,2,1,2,22.4,21.2,7,121
22,"1",172.1,80.2,1,1,1,49.6,5.9,61,168
22,"1",172.9,76.3,1,1,1,56.4,13.9,49,212
24,"0",165.2,53.7,1,0,0,21.8,23.3,45,163
43,"1",171.3,65.76,1,1,0,31.7,13.4,50,198
25,"1",176.4,70.4,1,1,1,42.1,7.5,31,234
36,"0",156.1,48.9,1,1,1,28.3,24.5,30,166
49,"1",181.9,73.4,1,1,1,40.7,-7,36,200
54,"0",150.9,54.4,2,0,0,22.1,24.7,21,148
56,"1",173.7,76.3,1,1,2,45.5,16.5,38,215
24,"1",179.3,86.4,1,1,2,44.9,16.1,49,232
46,"1",176.1,69.2,0,1,2,48.1,16.3,42,238
24,"0",160,51.8,2,1,1,23,10.2,24,120
21,"1",174.8,78.7,1,0,2,45.9,12.5,58,199
21,"0",160.8,48.9,1,0,0,26.5,17,47,193
25,"0",168.1,57.5,2,0,0,26.9,19.8,30,174
21,"1",169.5,61.6,0,1,1,27.2,19.3,64,200
51,"1",169,69,1,0,0,33.7,12.8,27,224
21,"1",175.8,66.26,0,1,1,42.2,14.6,42,182
21,"1",171.6,72.5,1,1,1,33.3,-3,33,203
44,"0",157.6,46.8,1,1,2,28.4,15.6,15,149
62,"0",153.3,54.9,2,1,2,21.3,25,19,121
63,"1",174.4,71.8,1,1,2,33.3,6.7,30,173
38,"0",163.1,61,1,1,1,32.4,21.8,37,170
38,"0",166.2,60.4,1,0,1,22.7,26.6,28,151
52,"1",163.4,61.3,1,1,1,39.3,19.5,51,203
31,"1",177.8,89.3,1,1,2,55.5,9.5,35,185
54,"0",157.1,66.2,2,1,1,27.2,17.4,27,126
24,"1",170.6,69.9,0,1,1,52.4,23.9,60,280
